_id,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
1,Alkoholunfälle,insgesamt,2025,202501,,24,,,
2,Alkoholunfälle,insgesamt,2025,202502,,28,,,
3,Alkoholunfälle,insgesamt,2025,202503,,25,,,
4,Alkoholunfälle,insgesamt,2025,202504,,38,,,
5,Alkoholunfälle,insgesamt,2025,202505,,32,,,
6,Alkoholunfälle,insgesamt,2025,202506,,55,,,
7,Alkoholunfälle,insgesamt,2025,202507,,45,,,
8,Alkoholunfälle,insgesamt,2025,202508,,47,,,
9,Alkoholunfälle,insgesamt,2025,202509,,46,,,
10,Alkoholunfälle,insgesamt,2025,202510,,37,,,
11,Alkoholunfälle,insgesamt,2025,202511,,37,,,
12,Alkoholunfälle,insgesamt,2025,202512,,29,,,
13,Alkoholunfälle,insgesamt,2024,Summe,443,465,,-4.73,
14,Alkoholunfälle,insgesamt,2024,202401,24,35,14.29,-31.43,38
15,Alkoholunfälle,insgesamt,2024,202402,28,33,16.67,-15.15,37
16,Alkoholunfälle,insgesamt,2024,202403,25,35,-10.71,-28.57,37
17,Alkoholunfälle,insgesamt,2024,202404,38,38,52,0,37
18,Alkoholunfälle,insgesamt,2024,202405,32,44,-15.79,-27.27,36
19,Alkoholunfälle,insgesamt,2024,202406,55,45,71.88,22.22,36
20,Alkoholunfälle,insgesamt,2024,202407,45,44,-18.18,2.27,37
21,Alkoholunfälle,insgesamt,2024,202408,47,37,4.44,27.03,37
22,Alkoholunfälle,insgesamt,2024,202409,46,61,-2.13,-24.59,36
23,Alkoholunfälle,insgesamt,2024,202410,37,40,-19.57,-7.5,36
24,Alkoholunfälle,insgesamt,2024,202411,37,32,0,15.63,36
25,Alkoholunfälle,insgesamt,2024,202412,29,21,-21.62,38.1,37
26,Alkoholunfälle,insgesamt,2023,Summe,465,493,,-5.68,
27,Alkoholunfälle,insgesamt,2023,202301,35,19,9.38,84.21,42
28,Alkoholunfälle,insgesamt,2023,202302,33,32,-5.71,3.13,43
29,Alkoholunfälle,insgesamt,2023,202303,35,28,6.06,25,43
30,Alkoholunfälle,insgesamt,2023,202304,38,34,8.57,11.76,43
31,Alkoholunfälle,insgesamt,2023,202305,44,57,15.79,-22.81,42
32,Alkoholunfälle,insgesamt,2023,202306,45,60,2.27,-25,41
33,Alkoholunfälle,insgesamt,2023,202307,44,54,-2.22,-18.52,40
34,Alkoholunfälle,insgesamt,2023,202308,37,44,-15.91,-15.91,40
35,Alkoholunfälle,insgesamt,2023,202309,61,56,64.86,8.93,40
36,Alkoholunfälle,insgesamt,2023,202310,40,49,-34.43,-18.37,39
37,Alkoholunfälle,insgesamt,2023,202311,32,28,-20,14.29,40
